Value	order	sample	domain
105.90025484171638	1	25hr	ERD
108.04158624384888	2	25hr	ERD
111.02908970570195	3	25hr	ERD
113.9858564692071	4	25hr	ERD
114.59725478358779	5	25hr	ERD
113.76786151753016	6	25hr	ERD
113.58832506102115	7	25hr	ERD
114.78683606060443	8	25hr	ERD
114.2224155908316	9	25hr	ERD
112.2111280920048	10	25hr	ERD
113.2052189797043	11	25hr	ERD
115.03263574445226	12	25hr	ERD
115.65284140355294	13	25hr	ERD
117.32983222598347	14	25hr	ERD
116.68545531017027	15	25hr	ERD
116.34272615465935	16	25hr	ERD
115.36609536186181	17	25hr	ERD
114.9522169393903	18	25hr	ERD
115.00602897903981	19	25hr	ERD
116.42908840850306	20	25hr	ERD
115.00324701190272	21	25hr	ERD
115.46193606872903	22	25hr	ERD
115.37860684992069	23	25hr	ERD
117.39245403609497	24	25hr	ERD
118.18002385921774	25	25hr	ERD
116.6354267239712	26	25hr	ERD
116.39160691263483	27	25hr	ERD
116.60059888682638	28	25hr	ERD
116.89414297795933	29	25hr	ERD
116.56362979438141	30	25hr	ERD
117.7687054464658	31	25hr	ERD
117.38786752940159	32	25hr	ERD
118.5786977954257	33	25hr	ERD
117.38563796787928	34	25hr	ERD
118.98083677237173	35	25hr	ERD
119.73653303175873	36	25hr	ERD
119.88767990047081	37	25hr	ERD
119.20598771823775	38	25hr	ERD
118.3062831425611	39	25hr	ERD
118.19707093257891	40	25hr	ERD
117.81670000990228	41	25hr	ERD
118.97728468633252	42	25hr	ERD
119.73379675507022	43	25hr	ERD
119.99456414012033	44	25hr	ERD
120.9542234876165	45	25hr	ERD
120.67124683086888	46	25hr	ERD
120.46341708100123	47	25hr	ERD
119.17376949042257	48	25hr	ERD
120.58038360957866	49	25hr	ERD
120.08866909584675	50	25hr	ERD
119.812199850082	51	25hr	ERD
121.10008086020127	52	25hr	ERD
120.54687552602836	53	25hr	ERD
122.76821898929612	54	25hr	ERD
123.7339133701659	55	25hr	ERD
123.77682285398059	56	25hr	ERD
122.87825889120843	57	25hr	ERD
122.53380889501061	58	25hr	ERD
123.52278384117021	59	25hr	ERD
122.73707428422182	60	25hr	ERD
122.59089330764735	61	25hr	ERD
123.86507411983834	62	25hr	ERD
122.88500200653353	63	25hr	ERD
121.85741286147407	64	25hr	ERD
122.5011606822176	65	25hr	ERD
121.62427033441024	66	25hr	ERD
122.86574740960897	67	25hr	ERD
122.55875910896549	68	25hr	ERD
124.02461856286996	69	25hr	ERD
123.81493607227286	70	25hr	ERD
123.92286632426145	71	25hr	ERD
126.01576919339726	72	25hr	ERD
124.93621468467128	73	25hr	ERD
125.45152118532971	74	25hr	ERD
127.66658923501821	75	25hr	ERD
128.16463179110184	76	25hr	ERD
128.62061371794348	77	25hr	ERD
129.9929837937762	78	25hr	ERD
129.20804176972905	79	25hr	ERD
128.09154067725657	80	25hr	ERD
129.4169188812027	81	25hr	ERD
129.19557360397283	82	25hr	ERD
127.88505181011058	83	25hr	ERD
130.07117998033036	84	25hr	ERD
129.68299763418864	85	25hr	ERD
130.53913605193884	86	25hr	ERD
130.77025224796094	87	25hr	ERD
131.11850344590118	88	25hr	ERD
131.95167759009846	89	25hr	ERD
130.23392322729256	90	25hr	ERD
132.0309588389777	91	25hr	ERD
132.32045109159466	92	25hr	ERD
132.04095642562277	93	25hr	ERD
132.41347746957607	94	25hr	ERD
133.39836879370975	95	25hr	ERD
133.59134579266257	96	25hr	ERD
131.56427798264428	97	25hr	ERD
132.23461625237525	98	25hr	ERD
133.59024554348724	99	25hr	ERD
133.0133489989028	100	25hr	ERD
134.73113152706742	101	25hr	ERD
134.5415768976805	102	25hr	ERD
133.80822396394603	103	25hr	ERD
133.7233445917842	104	25hr	ERD
132.97211834165904	105	25hr	ERD
132.78931723371275	106	25hr	ERD
131.21651867115068	107	25hr	ERD
131.28404331738307	108	25hr	ERD
130.84678951555225	109	25hr	ERD
131.9587377543012	110	25hr	ERD
132.74073469842588	111	25hr	ERD
133.15283635442057	112	25hr	ERD
132.71830195852576	113	25hr	ERD
132.945647814381	114	25hr	ERD
131.96595284501507	115	25hr	ERD
131.54390363740995	116	25hr	ERD
129.92301015853081	117	25hr	ERD
130.57832217574438	118	25hr	ERD
130.93339385117375	119	25hr	ERD
129.20860315752046	120	25hr	ERD
130.72103257922018	121	25hr	ERD
131.6821845555537	122	25hr	ERD
130.74878991872322	123	25hr	ERD
131.0398699064274	124	25hr	ERD
130.62958815658567	125	25hr	ERD
129.8122804751175	126	25hr	ERD
129.09993977755335	127	25hr	ERD
127.88061294473336	128	25hr	ERD
126.54933444894283	129	25hr	ERD
126.21222834616448	130	25hr	ERD
125.97980798734054	131	25hr	ERD
126.03325008968704	132	25hr	ERD
124.15297135668368	133	25hr	ERD
123.75888369874595	134	25hr	ERD
124.32205345139361	135	25hr	ERD
123.63574469011255	136	25hr	ERD
123.6094458497152	137	25hr	ERD
123.82313146440063	138	25hr	ERD
125.95369670177034	139	25hr	ERD
123.8390161036833	140	25hr	ERD
124.93796999328033	141	25hr	ERD
124.02697644855665	142	25hr	ERD
123.42537808943892	143	25hr	ERD
121.85364921824859	144	25hr	ERD
122.04408935323023	145	25hr	ERD
123.25257135330457	146	25hr	ERD
123.94909122417354	147	25hr	ERD
121.98468459394029	148	25hr	ERD
123.35125369074423	149	25hr	ERD
123.9872923800414	150	25hr	ERD
123.07523691265202	151	25hr	ERD
123.17279834802396	152	25hr	ERD
123.15399010165403	153	25hr	ERD
122.9806147214402	154	25hr	ERD
123.02462676808572	155	25hr	ERD
122.51111406145698	156	25hr	ERD
122.26738114782408	157	25hr	ERD
122.95685969823879	158	25hr	ERD
122.16019213638798	159	25hr	ERD
122.54938177492558	160	25hr	ERD
121.98698849438622	161	25hr	ERD
120.43760450187962	162	25hr	ERD
121.40817975516293	163	25hr	ERD
122.57226294092054	164	25hr	ERD
120.22097539546321	165	25hr	ERD
119.58657991311867	166	25hr	ERD
118.57858615953658	167	25hr	ERD
117.01543868740825	168	25hr	ERD
117.07362499106712	169	25hr	ERD
117.94489922591306	170	25hr	ERD
117.24839487617866	171	25hr	ERD
116.75913636555917	172	25hr	ERD
116.5342327526264	173	25hr	ERD
116.6073731933382	174	25hr	ERD
117.25037206077755	175	25hr	ERD
117.70790548201538	176	25hr	ERD
116.72796953129507	177	25hr	ERD
118.867530674987	178	25hr	ERD
119.45088101002058	179	25hr	ERD
119.13580429359807	180	25hr	ERD
117.11686937908384	181	25hr	ERD
119.51078424042018	182	25hr	ERD
118.5939710830144	183	25hr	ERD
119.05351581161746	184	25hr	ERD
118.93993075726429	185	25hr	ERD
118.25432234068215	186	25hr	ERD
116.13407478258974	187	25hr	ERD
117.11288638687913	188	25hr	ERD
115.64467282901808	189	25hr	ERD
114.79046049875285	190	25hr	ERD
113.64493736583805	191	25hr	ERD
113.62213891602923	192	25hr	ERD
112.33262504297028	193	25hr	ERD
110.58735318417857	194	25hr	ERD
110.05690759332255	195	25hr	ERD
109.72562779682448	196	25hr	ERD
110.43126412326352	197	25hr	ERD
108.72444337578544	198	25hr	ERD
104.95789891908709	199	25hr	ERD
102.64070554128006	200	25hr	ERD
91.84267306588363	1	25hr	LRD
93.93695859530177	2	25hr	LRD
95.84807121179098	3	25hr	LRD
94.33905986884146	4	25hr	LRD
90.34173966056817	5	25hr	LRD
90.03901514977493	6	25hr	LRD
89.8402440844308	7	25hr	LRD
88.21679159492288	8	25hr	LRD
87.41466566272645	9	25hr	LRD
87.09551487031754	10	25hr	LRD
87.32541330017806	11	25hr	LRD
86.36322633046197	12	25hr	LRD
86.2106031857048	13	25hr	LRD
84.72895152519305	14	25hr	LRD
84.38582721276455	15	25hr	LRD
83.2593381827068	16	25hr	LRD
83.79425768036926	17	25hr	LRD
82.88915571858507	18	25hr	LRD
81.8614517437025	19	25hr	LRD
80.79770096958134	20	25hr	LRD
81.182917594564	21	25hr	LRD
