Value	order	sample	domain
4.989526289378568	1	20min	ERD
4.946409788821563	2	20min	ERD
5.018213623621749	3	20min	ERD
5.1143971332788265	4	20min	ERD
5.217407256860263	5	20min	ERD
5.232725455246422	6	20min	ERD
5.205237711053205	7	20min	ERD
5.252765853468508	8	20min	ERD
5.328695164125883	9	20min	ERD
5.378488661812271	10	20min	ERD
5.449716480242296	11	20min	ERD
5.499631233558406	12	20min	ERD
5.532897331552751	13	20min	ERD
5.528407557634875	14	20min	ERD
5.613420820313424	15	20min	ERD
5.683256373740858	16	20min	ERD
5.735696572518907	17	20min	ERD
5.802319435726002	18	20min	ERD
5.877285254713399	19	20min	ERD
5.917450091647102	20	20min	ERD
5.986450802386196	21	20min	ERD
6.057908205291466	22	20min	ERD
6.117038269139897	23	20min	ERD
6.189237655762509	24	20min	ERD
6.255217469442391	25	20min	ERD
6.319906146208542	26	20min	ERD
6.370120567440074	27	20min	ERD
6.414667011653063	28	20min	ERD
6.451240213408242	29	20min	ERD
6.497412638964479	30	20min	ERD
6.539740475235123	31	20min	ERD
6.558764290226226	32	20min	ERD
6.58456417397659	33	20min	ERD
6.597093725291252	34	20min	ERD
6.6183911280742915	35	20min	ERD
6.6475186375495054	36	20min	ERD
6.661116713620306	37	20min	ERD
6.705479449818515	38	20min	ERD
6.745810423557513	39	20min	ERD
6.76749828943853	40	20min	ERD
6.825384318618093	41	20min	ERD
6.886337482109842	42	20min	ERD
6.92096418529197	43	20min	ERD
6.9467061319608225	44	20min	ERD
6.959679249895899	45	20min	ERD
6.9815408095772415	46	20min	ERD
6.974208392776654	47	20min	ERD
6.963831302405567	48	20min	ERD
6.97033093886334	49	20min	ERD
6.943506881515599	50	20min	ERD
6.936137331525974	51	20min	ERD
6.912029034247986	52	20min	ERD
6.914241241952444	53	20min	ERD
6.933624876920482	54	20min	ERD
6.920031704068904	55	20min	ERD
6.903315680137197	56	20min	ERD
6.912427321299946	57	20min	ERD
6.911346805822724	58	20min	ERD
6.919962604169925	59	20min	ERD
6.921499966424256	60	20min	ERD
6.913221478570598	61	20min	ERD
6.902166082958578	62	20min	ERD
6.887321859700452	63	20min	ERD
6.86611019640643	64	20min	ERD
6.854741111153531	65	20min	ERD
6.844923467653571	66	20min	ERD
6.826448205507509	67	20min	ERD
6.8141529373551535	68	20min	ERD
6.780223758444215	69	20min	ERD
6.759252385428332	70	20min	ERD
6.724280097026349	71	20min	ERD
6.697261822875002	72	20min	ERD
6.672315150379942	73	20min	ERD
6.643292765021253	74	20min	ERD
6.585641606175429	75	20min	ERD
6.519393712592468	76	20min	ERD
6.448858736977833	77	20min	ERD
6.390186153184698	78	20min	ERD
6.3401610226366545	79	20min	ERD
6.2577145544874435	80	20min	ERD
6.21066981092438	81	20min	ERD
6.140782054248944	82	20min	ERD
6.096386129336203	83	20min	ERD
6.036877695817552	84	20min	ERD
5.964395483871233	85	20min	ERD
5.885637702201074	86	20min	ERD
5.788607418805008	87	20min	ERD
5.739339492839403	88	20min	ERD
5.649668372109053	89	20min	ERD
5.537245295076146	90	20min	ERD
5.419448396431097	91	20min	ERD
5.294996267167974	92	20min	ERD
5.191366798789483	93	20min	ERD
5.080864704536773	94	20min	ERD
4.952441227322359	95	20min	ERD
4.840533720663881	96	20min	ERD
4.730500256859638	97	20min	ERD
4.6249637936690755	98	20min	ERD
4.531821848318602	99	20min	ERD
4.590099888996976	100	20min	ERD
2.6650619663674737	1	20min	LRD
2.6469445590379697	2	20min	LRD
2.6141913000135664	3	20min	LRD
2.6073218982977617	4	20min	LRD
2.5749400640275555	5	20min	LRD
2.548585309102551	6	20min	LRD
2.5339460280841037	7	20min	LRD
2.5204372770405787	8	20min	LRD
2.506018444040017	9	20min	LRD
2.5175952236918655	10	20min	LRD
2.494242947319725	11	20min	LRD
2.482279489992895	12	20min	LRD
2.467758759966362	13	20min	LRD
2.471152224308808	14	20min	LRD
2.4633640333497286	15	20min	LRD
2.4544620496000777	16	20min	LRD
2.4502209601254994	17	20min	LRD
2.4466654453039203	18	20min	LRD
2.4438771345887895	19	20min	LRD
2.4392360328247067	20	20min	LRD
2.4376280122320226	21	20min	LRD
2.4345879283425056	22	20min	LRD
2.433564126377365	23	20min	LRD
2.432867519570365	24	20min	LRD
2.442179906963174	25	20min	LRD
2.444379598363725	26	20min	LRD
2.444658093442792	27	20min	LRD
2.4462026401809953	28	20min	LRD
2.4476563380780525	29	20min	LRD
2.44968648800391	30	20min	LRD
2.453014037517287	31	20min	LRD
2.4555841035016646	32	20min	LRD
2.4648681856031343	33	20min	LRD
2.4702302468924144	34	20min	LRD
2.471843127311481	35	20min	LRD
2.470150132127821	36	20min	LRD
2.4702856938692745	37	20min	LRD
2.4712626198977303	38	20min	LRD
2.4693917697533467	39	20min	LRD
2.4707546828870424	40	20min	LRD
2.467591479119521	41	20min	LRD
2.4615814618074845	42	20min	LRD
2.460083271848544	43	20min	LRD
2.4578246997830018	44	20min	LRD
2.457133584082208	45	20min	LRD
2.458837164822673	46	20min	LRD
2.456630202500594	47	20min	LRD
2.4562830446500032	48	20min	LRD
2.4563724769704742	49	20min	LRD
