Value	order	sample	domain
15.94796405531555	1	60min	ERD
15.818491708198524	2	60min	ERD
15.989586743183883	3	60min	ERD
16.130793701423098	4	60min	ERD
16.174182769197717	5	60min	ERD
16.097299127833434	6	60min	ERD
16.06196563196776	7	60min	ERD
16.133042314940692	8	60min	ERD
16.20659932933235	9	60min	ERD
16.312320357607465	10	60min	ERD
16.395724333557094	11	60min	ERD
16.41869728146099	12	60min	ERD
16.42915610602745	13	60min	ERD
16.4037907863085	14	60min	ERD
16.555462941852845	15	60min	ERD
16.673052606042198	16	60min	ERD
16.74915509203822	17	60min	ERD
16.84253975300238	18	60min	ERD
16.954275134890356	19	60min	ERD
16.988114146148593	20	60min	ERD
17.092911146464683	21	60min	ERD
17.196851735830535	22	60min	ERD
17.27626730983857	23	60min	ERD
17.347900518208743	24	60min	ERD
17.409924607937317	25	60min	ERD
17.482397977778902	26	60min	ERD
17.498783518019753	27	60min	ERD
17.481841313888175	28	60min	ERD
17.456553065137197	29	60min	ERD
17.461467690588893	30	60min	ERD
17.440079138388526	31	60min	ERD
17.38348489630468	32	60min	ERD
17.383260342146148	33	60min	ERD
17.360150732400744	34	60min	ERD
17.35592825088215	35	60min	ERD
17.376107477422824	36	60min	ERD
17.360979287138015	37	60min	ERD
17.427445134877452	38	60min	ERD
17.494088489418623	39	60min	ERD
17.629346461314594	40	60min	ERD
17.728187246633897	41	60min	ERD
17.826225452481527	42	60min	ERD
17.836317158365702	43	60min	ERD
17.814754222687654	44	60min	ERD
17.785422836116233	45	60min	ERD
17.786083253844726	46	60min	ERD
17.752011040485748	47	60min	ERD
17.753710480319107	48	60min	ERD
17.79030061263983	49	60min	ERD
17.766863335661657	50	60min	ERD
17.725383397343467	51	60min	ERD
17.689607476180868	52	60min	ERD
17.717761513541436	53	60min	ERD
17.7812323227515	54	60min	ERD
17.76260288203007	55	60min	ERD
17.720427038242548	56	60min	ERD
17.74071712144501	57	60min	ERD
17.73061923784403	58	60min	ERD
17.7678844235143	59	60min	ERD
17.779744152192396	60	60min	ERD
17.77300341255479	61	60min	ERD
17.769570394353853	62	60min	ERD
17.77543664655216	63	60min	ERD
17.75133383488438	64	60min	ERD
17.756506205181402	65	60min	ERD
17.781651746076953	66	60min	ERD
17.787632775355757	67	60min	ERD
17.791194159830003	68	60min	ERD
17.79788870601666	69	60min	ERD
17.83122884135632	70	60min	ERD
17.829164838241507	71	60min	ERD
17.841862612290406	72	60min	ERD
17.869420353719814	73	60min	ERD
17.906258845472678	74	60min	ERD
17.857452493463946	75	60min	ERD
17.783610610135963	76	60min	ERD
17.706494790113663	77	60min	ERD
17.67958516918104	78	60min	ERD
17.650627355991407	79	60min	ERD
17.62252259969097	80	60min	ERD
17.550055570220373	81	60min	ERD
17.451168034166905	82	60min	ERD
17.449673224269795	83	60min	ERD
17.414313440480754	84	60min	ERD
17.35449306082832	85	60min	ERD
17.279818166733556	86	60min	ERD
17.184846412128696	87	60min	ERD
17.195971173262873	88	60min	ERD
17.124627043226674	89	60min	ERD
16.987578588393472	90	60min	ERD
16.8141142013846	91	60min	ERD
16.60478081483612	92	60min	ERD
16.460127018243256	93	60min	ERD
16.2783185166171	94	60min	ERD
16.031958338668428	95	60min	ERD
15.823498269255799	96	60min	ERD
15.599623152698165	97	60min	ERD
15.360223709487515	98	60min	ERD
15.138028666484677	99	60min	ERD
15.264010483712228	100	60min	ERD
9.630393307637819	1	60min	LRD
9.606329770881056	2	60min	LRD
9.475740230355965	3	60min	LRD
9.433170694828217	4	60min	LRD
9.31794537428764	5	60min	LRD
9.206770198704797	6	60min	LRD
9.131150581181764	7	60min	LRD
9.025670059503895	8	60min	LRD
8.932746572399939	9	60min	LRD
8.973404719594845	10	60min	LRD
8.856070564250487	11	60min	LRD
8.78163956145922	12	60min	LRD
8.706956629248635	13	60min	LRD
8.703264653747357	14	60min	LRD
8.6451646897221	15	60min	LRD
8.591080565282043	16	60min	LRD
8.55844922973236	17	60min	LRD
8.527288293613926	18	60min	LRD
8.501909325012312	19	60min	LRD
8.478009903204645	20	60min	LRD
8.462976423939399	21	60min	LRD
8.450665974879659	22	60min	LRD
8.440657633603836	23	60min	LRD
8.429560197577423	24	60min	LRD
8.449276012136725	25	60min	LRD
8.446644097527415	26	60min	LRD
8.433919026637929	27	60min	LRD
8.424556814147065	28	60min	LRD
8.4257969931098	29	60min	LRD
8.432574041894283	30	60min	LRD
8.441323359481093	31	60min	LRD
8.450992801236081	32	60min	LRD
8.474153905802021	33	60min	LRD
8.485394623833272	34	60min	LRD
8.488215629808252	35	60min	LRD
8.48064965517081	36	60min	LRD
8.476317494515943	37	60min	LRD
8.473021214576587	38	60min	LRD
8.455394342387375	39	60min	LRD
8.45599350989257	40	60min	LRD
8.442991436197891	41	60min	LRD
8.417250472038717	42	60min	LRD
8.404014750541664	43	60min	LRD
8.388946954970903	44	60min	LRD
8.383096799825603	45	60min	LRD
8.382440672569956	46	60min	LRD
8.375579615539982	47	60min	LRD
8.377761008316595	48	60min	LRD
8.377346478826063	49	60min	LRD
8.39507264104858	50	60min	LRD
8.387805856938186	51	60min	LRD
8.398852901155475	52	60min	LRD
8.396010297734426	53	60min	LRD
8.388150662149965	54	60min	LRD
8.390047288807478	55	60min	LRD
8.390029266034368	56	60min	LRD
8.400109879975764	57	60min	LRD
8.41371486337328	58	60min	LRD
8.42355544206314	59	60min	LRD
8.426982061635416	60	60min	LRD
8.419008255430656	61	60min	LRD
8.413563890929565	62	60min	LRD
8.430134700704599	63	60min	LRD
8.468071528834574	64	60min	LRD
8.503112784871655	65	60min	LRD
8.538735821926874	66	60min	LRD
8.58232915522457	67	60min	LRD
8.636237146035556	68	60min	LRD
8.630438532607634	69	60min	LRD
8.631988216023165	70	60min	LRD
8.561262993428315	71	60min	LRD
8.579063452541558	72	60min	LRD
8.568970418120145	73	60min	LRD
8.55232765136919	74	60min	LRD
8.565869016415778	75	60min	LRD
8.57891473071004	76	60min	LRD
8.58949398778186	77	60min	LRD
8.602811807908344	78	60min	LRD
8.638412635135609	79	60min	LRD
8.662478082156925	80	60min	LRD
8.696281476130101	81	60min	LRD
8.715463589736835	82	60min	LRD
8.719166541582135	83	60min	LRD
8.748780032906986	84	60min	LRD
8.778361980537285	85	60min	LRD
8.79913119539111	86	60min	LRD
8.846756819530743	87	60min	LRD
8.909515892143812	88	60min	LRD
8.946038909302171	89	60min	LRD
9.01427780265118	90	60min	LRD
9.082276849098793	91	60min	LRD
9.140662191219937	92	60min	LRD
9.197657609235725	93	60min	LRD
9.274039400637285	94	60min	LRD
9.363308422027227	95	60min	LRD
9.457965032188353	96	60min	LRD
9.54712763564444	97	60min	LRD
9.645913077271064	98	60min	LRD
9.788799784873639	99	60min	LRD
10.179757683209864	100	60min	LRD
