Value	order	sample	domain
2.368568423835225	1	15min	ERD
2.3523036009008425	2	15min	ERD
2.3770093041125673	3	15min	ERD
2.4053077783166024	4	15min	ERD
2.4400040409010857	5	15min	ERD
2.4408490009789787	6	15min	ERD
2.434389065801866	7	15min	ERD
2.4466359232411174	8	15min	ERD
2.465714504395646	9	15min	ERD
2.473039679171629	10	15min	ERD
2.491842965116523	11	15min	ERD
2.5040312858371347	12	15min	ERD
2.5125696806633644	13	15min	ERD
2.51343664870944	14	15min	ERD
2.54510936727102	15	15min	ERD
2.5675517626397726	16	15min	ERD
2.589581237201646	17	15min	ERD
2.615101463124762	18	15min	ERD
2.643690635053271	19	15min	ERD
2.6622300452962304	20	15min	ERD
2.6878281794805243	21	15min	ERD
2.713865049104275	22	15min	ERD
2.7320019207265216	23	15min	ERD
2.7605599186071665	24	15min	ERD
2.785234529030214	25	15min	ERD
2.807220323495949	26	15min	ERD
2.8267414345286457	27	15min	ERD
2.8453432913526067	28	15min	ERD
2.863506224293083	29	15min	ERD
2.8847112897859515	30	15min	ERD
2.903406083624718	31	15min	ERD
2.914461178974271	32	15min	ERD
2.921522014424645	33	15min	ERD
2.9275204896340283	34	15min	ERD
2.938312855238322	35	15min	ERD
2.9477433964033755	36	15min	ERD
2.9498514100191455	37	15min	ERD
2.964467550859752	38	15min	ERD
2.978424270328643	39	15min	ERD
2.98528953613322	40	15min	ERD
3.0086157507115776	41	15min	ERD
3.0311201535979984	42	15min	ERD
3.042344487734949	43	15min	ERD
3.0499209019835014	44	15min	ERD
3.056196604273491	45	15min	ERD
3.0676276068811332	46	15min	ERD
3.0662844160932816	47	15min	ERD
3.0607866806024826	48	15min	ERD
3.061773818202632	49	15min	ERD
3.0507307926654392	50	15min	ERD
3.0473122337399747	51	15min	ERD
3.0396985006908244	52	15min	ERD
3.0428773412832864	53	15min	ERD
3.0532443798468853	54	15min	ERD
3.0495871678640314	55	15min	ERD
3.0421345365711687	56	15min	ERD
3.044761945335028	57	15min	ERD
3.0409042299477784	58	15min	ERD
3.0397059735578176	59	15min	ERD
3.0319045899815618	60	15min	ERD
3.0220525636070303	61	15min	ERD
3.0151480065897847	62	15min	ERD
3.0043950793373337	63	15min	ERD
2.990902505079047	64	15min	ERD
2.9818380474912933	65	15min	ERD
2.9721887464354513	66	15min	ERD
2.959435821073326	67	15min	ERD
2.9486849501544072	68	15min	ERD
2.93320636151561	69	15min	ERD
2.923451114132114	70	15min	ERD
2.9093370044325417	71	15min	ERD
2.9009280465920075	72	15min	ERD
2.8910987654156783	73	15min	ERD
2.8821950248158927	74	15min	ERD
2.8578391534882246	75	15min	ERD
2.831378295691858	76	15min	ERD
2.807036665600247	77	15min	ERD
2.787452983333323	78	15min	ERD
2.7714657206216313	79	15min	ERD
2.7480402046395738	80	15min	ERD
2.7294302323673674	81	15min	ERD
2.7073553525420646	82	15min	ERD
2.695322233239926	83	15min	ERD
2.681951076815606	84	15min	ERD
2.659954102856041	85	15min	ERD
2.6360396719421963	86	15min	ERD
2.607136415332613	87	15min	ERD
2.5930665476567665	88	15min	ERD
2.565390095310115	89	15min	ERD
2.5285742480589066	90	15min	ERD
2.4904102968970196	91	15min	ERD
2.453297746108187	92	15min	ERD
2.4257847928929612	93	15min	ERD
2.395366851607616	94	15min	ERD
2.3581640697627453	95	15min	ERD
2.330955554817686	96	15min	ERD
2.3050917549832644	97	15min	ERD
2.276732752237167	98	15min	ERD
2.25034540148096	99	15min	ERD
2.2741919818291034	100	15min	ERD
1.6935047986558278	1	15min	LRD
1.686661554161663	2	15min	LRD
1.6758258404621764	3	15min	LRD
1.682843432986444	4	15min	LRD
1.669803677070447	5	15min	LRD
1.6604830013742131	6	15min	LRD
1.6614903483939578	7	15min	LRD
1.663808597842912	8	15min	LRD
1.659968080764803	9	15min	LRD
1.6693011505088098	10	15min	LRD
1.660563109755509	11	15min	LRD
1.656582095166074	12	15min	LRD
