Value	order	sample	domain
1.7549460061644349	1	0min	ERD
1.7261098165280873	2	0min	ERD
1.7584254874352216	3	0min	ERD
1.7626116847903732	4	0min	ERD
1.7733531206530784	5	0min	ERD
1.807155803411887	6	0min	ERD
1.794848973741542	7	0min	ERD
1.8061632753773493	8	0min	ERD
1.811866772128857	9	0min	ERD
1.8291137260552486	10	0min	ERD
1.8389258054886135	11	0min	ERD
1.836872128396731	12	0min	ERD
1.8309663620188528	13	0min	ERD
1.8475278911678088	14	0min	ERD
1.8632576169190938	15	0min	ERD
1.8746034789695023	16	0min	ERD
1.9025492610779062	17	0min	ERD
1.9078634988091372	18	0min	ERD
1.9381027550419263	19	0min	ERD
1.9463356030721302	20	0min	ERD
1.963438503877273	21	0min	ERD
1.9862895860783312	22	0min	ERD
1.996191489351444	23	0min	ERD
2.0107985660864953	24	0min	ERD
2.0341445330493406	25	0min	ERD
2.0457174345001348	26	0min	ERD
2.0600328627610778	27	0min	ERD
2.0564655120601585	28	0min	ERD
2.07363148996719	29	0min	ERD
2.0614846024641382	30	0min	ERD
2.0813462690539324	31	0min	ERD
2.0900218937225987	32	0min	ERD
2.1037975704222878	33	0min	ERD
2.1096232973235693	34	0min	ERD
2.101891955668465	35	0min	ERD
2.1067054622711274	36	0min	ERD
2.1048121330290472	37	0min	ERD
2.130487435465436	38	0min	ERD
2.12998196293124	39	0min	ERD
2.140182771622705	40	0min	ERD
2.1499195240381535	41	0min	ERD
2.168695296150802	42	0min	ERD
2.166392669452965	43	0min	ERD
2.1738118086473244	44	0min	ERD
2.178995770397406	45	0min	ERD
2.197615473371002	46	0min	ERD
2.1928272505613173	47	0min	ERD
2.176866163134488	48	0min	ERD
2.194920189290545	49	0min	ERD
2.19079485818119	50	0min	ERD
2.1897011323144393	51	0min	ERD
2.18031360807293	52	0min	ERD
2.1802875815074834	53	0min	ERD
2.1804687362917887	54	0min	ERD
2.1851774268931825	55	0min	ERD
2.1820163155241667	56	0min	ERD
2.155665581198524	57	0min	ERD
2.1748763621380407	58	0min	ERD
2.173282184377465	59	0min	ERD
2.1750751849923113	60	0min	ERD
2.172288350455505	61	0min	ERD
2.1777856005089746	62	0min	ERD
2.1713510321999374	63	0min	ERD
2.153867393477607	64	0min	ERD
2.153568538776649	65	0min	ERD
2.1427225888997663	66	0min	ERD
2.133941469389283	67	0min	ERD
2.142109226877881	68	0min	ERD
2.1415509802277652	69	0min	ERD
2.114784228990321	70	0min	ERD
2.1182213291069383	71	0min	ERD
2.112689303690089	72	0min	ERD
2.1038213206698564	73	0min	ERD
2.0921312219138453	74	0min	ERD
2.086754671334434	75	0min	ERD
2.056741874910101	76	0min	ERD
2.049536532949351	77	0min	ERD
2.041312780214953	78	0min	ERD
2.033686659833091	79	0min	ERD
2.0142417255987133	80	0min	ERD
2.009513771126895	81	0min	ERD
1.975480451216562	82	0min	ERD
1.9946604767241256	83	0min	ERD
1.9614007831389288	84	0min	ERD
1.9680020365128257	85	0min	ERD
1.9485338599907405	86	0min	ERD
1.9178409232439215	87	0min	ERD
1.9124858297976466	88	0min	ERD
1.8845251724584375	89	0min	ERD
1.868867922246141	90	0min	ERD
1.8464724748943862	91	0min	ERD
1.8062118070885071	92	0min	ERD
1.7922191259357179	93	0min	ERD
1.7692564653573692	94	0min	ERD
1.7470351372194166	95	0min	ERD
1.7295610733756672	96	0min	ERD
1.7045013224193255	97	0min	ERD
1.6860513410514553	98	0min	ERD
1.6809926338897867	99	0min	ERD
1.6971470552451626	100	0min	ERD
1.2514331638530372	1	0min	LRD
1.2674395330956374	2	0min	LRD
1.24561266285339	3	0min	LRD
1.231134963594432	4	0min	LRD
1.2316218483848749	5	0min	LRD
1.238882869519966	6	0min	LRD
1.224127402159881	7	0min	LRD
1.2460116461104596	8	0min	LRD
1.2398692167518683	9	0min	LRD
1.2451425983450182	10	0min	LRD
1.2413953495009715	11	0min	LRD
1.2338376258949062	12	0min	LRD
1.2409803767462109	13	0min	LRD
1.2287958113250832	14	0min	LRD
1.205680554063288	15	0min	LRD
1.2328034369422285	16	0min	LRD
1.2169435163177589	17	0min	LRD
1.2088556989580743	18	0min	LRD
1.219595053103984	19	0min	LRD
1.221180195258673	20	0min	LRD
1.2259006641381824	21	0min	LRD
1.2091547976502521	22	0min	LRD
1.2196118295876823	23	0min	LRD
1.2165317258659105	24	0min	LRD
1.2213943050799805	25	0min	LRD
1.201083460268342	26	0min	LRD
1.2096275966792016	27	0min	LRD
1.2111116569996154	28	0min	LRD
1.1997523210660197	29	0min	LRD
1.1990623105904985	30	0min	LRD
1.2085046964262436	31	0min	LRD
1.186649332863317	32	0min	LRD
1.2079964268813401	33	0min	LRD
1.2193890865314811	34	0min	LRD
1.2179277603606824	35	0min	LRD
1.2256256529962195	36	0min	LRD
1.199417012415556	37	0min	LRD
1.2071376418018878	38	0min	LRD
1.2061881609416112	39	0min	LRD
1.208863030192537	40	0min	LRD
1.212269009574511	41	0min	LRD
1.2183607549869273	42	0min	LRD
1.2296207694951455	43	0min	LRD
1.2312557374045208	44	0min	LRD
1.2266615837008927	45	0min	LRD
1.213583888218651	46	0min	LRD
1.220254892695278	47	0min	LRD
1.220974765935225	48	0min	LRD
1.2162985484857276	49	0min	LRD
1.2088412930303005	50	0min	LRD
1.2232826100176912	51	0min	LRD
1.211729693747388	52	0min	LRD
1.2248320618156494	53	0min	LRD
1.2207766888207787	54	0min	LRD
1.2223692200086462	55	0min	LRD
1.229438573138818	56	0min	LRD
1.2283216665515042	57	0min	LRD
1.2180374222487371	58	0min	LRD
1.2218979466241948	59	0min	LRD
1.2206298436259757	60	0min	LRD
1.235522541629693	61	0min	LRD
1.2341127622942378	62	0min	LRD
1.220577871377696	63	0min	LRD
1.2361355363863171	64	0min	LRD
1.2153183743220868	65	0min	LRD
1.2200320932018098	66	0min	LRD
1.23087247384326	67	0min	LRD
1.2213766480162358	68	0min	LRD
1.2281549532968188	69	0min	LRD
1.2230431493092873	70	0min	LRD
1.2024815164560099	71	0min	LRD
1.224210101826157	72	0min	LRD
1.2196027971385444	73	0min	LRD
1.208782081351114	74	0min	LRD
1.2200861876673634	75	0min	LRD
1.198702842996213	76	0min	LRD
1.2036718704083487	77	0min	LRD
1.213312790104271	78	0min	LRD
1.2026276318857028	79	0min	LRD
1.216454914312785	80	0min	LRD
1.225261684290319	81	0min	LRD
1.2205938654078416	82	0min	LRD
1.208660384787032	83	0min	LRD
1.1949626214486768	84	0min	LRD
1.2134370267798862	85	0min	LRD
1.1957919183831276	86	0min	LRD
1.1827898188304964	87	0min	LRD
1.206220627948731	88	0min	LRD
1.2275396022094762	89	0min	LRD
1.229288196677065	90	0min	LRD
1.226144072929321	91	0min	LRD
1.2134316555793252	92	0min	LRD
