Value	order	sample	domain
15.886871106677857	1	80min	ERD
15.659834665439815	2	80min	ERD
15.846251377924816	3	80min	ERD
16.025700361189074	4	80min	ERD
16.1167522429444	5	80min	ERD
16.064010544611254	6	80min	ERD
15.992042359448837	7	80min	ERD
16.083671267522757	8	80min	ERD
16.15263916999755	9	80min	ERD
16.30447252122988	10	80min	ERD
16.43099066465102	11	80min	ERD
16.478022198541325	12	80min	ERD
16.49204256738675	13	80min	ERD
16.437897208397914	14	80min	ERD
16.626960722627786	15	80min	ERD
16.785885869285973	16	80min	ERD
16.86027976557968	17	80min	ERD
16.959901074330023	18	80min	ERD
17.087226128258663	19	80min	ERD
17.09592139230166	20	80min	ERD
17.246533176582986	21	80min	ERD
17.387698823319976	22	80min	ERD
17.540535523417443	23	80min	ERD
17.66101055180662	24	80min	ERD
17.771985025950073	25	80min	ERD
17.902497607059416	26	80min	ERD
17.960414436191474	27	80min	ERD
17.966414538917196	28	80min	ERD
17.95448250719326	29	80min	ERD
17.962067234097283	30	80min	ERD
17.968651358819397	31	80min	ERD
17.916809722380883	32	80min	ERD
17.949337148027	33	80min	ERD
17.916093766710947	34	80min	ERD
17.912918382431172	35	80min	ERD
17.938348988181403	36	80min	ERD
17.937364217875484	37	80min	ERD
18.04719778870712	38	80min	ERD
18.14977183847295	39	80min	ERD
18.300675523685666	40	80min	ERD
18.446152928936005	41	80min	ERD
18.570827567705916	42	80min	ERD
18.613513011671866	43	80min	ERD
18.58998083260194	44	80min	ERD
18.568232570325886	45	80min	ERD
18.59286282447857	46	80min	ERD
18.559087676175665	47	80min	ERD
18.57306739277401	48	80min	ERD
18.626826902269322	49	80min	ERD
18.57382910449975	50	80min	ERD
18.519059676294184	51	80min	ERD
18.48310587392337	52	80min	ERD
18.52050003951216	53	80min	ERD
18.57472540519217	54	80min	ERD
18.54091353048764	55	80min	ERD
18.479498461530465	56	80min	ERD
18.49060505197452	57	80min	ERD
18.47733090361651	58	80min	ERD
18.50994623543274	59	80min	ERD
18.51918322887635	60	80min	ERD
18.496260010095927	61	80min	ERD
18.473660771260693	62	80min	ERD
18.462820832186914	63	80min	ERD
18.41958189003764	64	80min	ERD
18.379665890326194	65	80min	ERD
18.37166710254814	66	80min	ERD
18.33083351439571	67	80min	ERD
18.312471087106044	68	80min	ERD
18.298381128699916	69	80min	ERD
18.30910971164879	70	80min	ERD
18.274450615042632	71	80min	ERD
18.24774067188559	72	80min	ERD
18.253037072985258	73	80min	ERD
18.25924597344015	74	80min	ERD
18.187066366772132	75	80min	ERD
18.08634427210415	76	80min	ERD
